search_keyword,product_id,title,price,status_code,status,condition,location,free_shipping,num_faved,num_comment,update_time,update_timestamp,tag,category_id,product_url
쿠쿠 밥솥,371762188,쿠쿠 트윈프레셔 저당 IH밥솥 새제품,459000,0,판매중,새상품,광주광역시 서구 풍암동,True,8,0,2026-08-27 14:18:46,1787807926,쿠쿠밥솥 전기밥솥 압력밥솥 쿠첸 cuckoo,610600008,https://m.bunjang.co.kr/products/371762188
쿠쿠 밥솥,373012988,쿠쿠 CRP-QS107FG 로즈골드 전기밥솥,139000,0,판매중,중고,,False,1,0,2026-08-27 13:43:58,1787805838,,610600008,https://m.bunjang.co.kr/products/373012988
쿠쿠 밥솥,426141604,쿠쿠 미니 에그밥솥(상태좋음),50000,0,판매중,중고,부산광역시 남구 용호제3동,False,0,0,2026-08-27 13:22:11,1787804531,,610600008,https://m.bunjang.co.kr/products/426141604
쿠쿠 밥솥,426131270,쿠쿠 30인용 업소용 대용량 전기보온밥솥 CR-3055B,78000,0,판매중,중고,,True,0,0,2026-08-27 12:50:02,1787802602,,610600008,https://m.bunjang.co.kr/products/426131270
쿠쿠 밥솥,426127336,쿠쿠 10인용 전기압력밥솥 CRP-QK1010BUG,110000,0,판매중,중고,,True,0,0,2026-08-27 12:38:10,1787801890,,610600008,https://m.bunjang.co.kr/products/426127336
쿠쿠 밥솥,425805385,CUCKOO 전기밥솥 6인용 저렴하게 구입하세요,30000,0,판매중,중고,,False,0,0,2026-08-27 11:41:13,1787798473,쿠쿠6인용밥솥 중고밥솥 밥솥중고 전기압력밥솥 전기밥솥중고,610600008,https://m.bunjang.co.kr/products/425805385
쿠쿠 밥솥,424664976,쿠쿠 전기IH압력밥솥 6인용 음성기능 저렴하게 구입하세요,70000,0,판매중,중고,,False,2,0,2026-08-27 11:40:20,1787798420,쿠쿠전기밥솥 중고압력밥솥 6인용압력밥솥 압력밥솥 전기압력밥솥중고,610600008,https://m.bunjang.co.kr/products/424664976
쿠쿠 밥솥,415446195,쿠쿠밥솥 미개봉 팔아요,270000,0,판매중,새상품,,True,9,0,2026-08-27 10:57:24,1787795844,밭솥 밥솥 쿠쿠밥솥 밥 쌀밥,610600008,https://m.bunjang.co.kr/products/415446195
쿠쿠 밥솥,409731796,(쿠쿠) RT067FP 압력밥솥 6인용 초고압 무압취사 음성안내 자동세척,52000,0,판매중,중고,,False,5,0,2026-08-27 10:31:56,1787794316,,610600008,https://m.bunjang.co.kr/products/409731796
쿠쿠 밥솥,402913359,<새 상품> 정품 쿠쿠 밥솥,275000,0,판매중,새상품,강원특별자치도 춘천시 남산면,True,5,0,2026-08-27 10:25:14,1787793914,,610600008,https://m.bunjang.co.kr/products/402913359
쿠쿠 밥솥,403202375,쿠쿠 IH압력밥솥 1등급 음성가드  무압.고압취사,140000,0,판매중,중고,대전광역시 중구 오류동,False,19,0,2026-08-27 10:21:24,1787793684,,610600008,https://m.bunjang.co.kr/products/403202375
쿠쿠 밥솥,397118616,쿠쿠 IH압력밥솥 음성가드 1등급  고급형,135000,0,판매중,중고,대전광역시 중구 오류동,False,8,0,2026-08-27 10:17:36,1787793456,,610600008,https://m.bunjang.co.kr/products/397118616
쿠쿠 밥솥,424861557,쿠쿠 IH 밥솥 HUF10BS,85000,0,판매중,중고,,False,1,0,2026-08-27 09:45:47,1787791547,,610600008,https://m.bunjang.co.kr/products/424861557
쿠쿠 밥솥,402469275,쿠쿠 6인용 IH 압력밥솥 FHR0610FD(급처분),115000,0,판매중,중고,,False,7,0,2026-08-27 09:44:36,1787791476,,610600008,https://m.bunjang.co.kr/products/402469275
쿠쿠 밥솥,385694806,쿠쿠 전기밥솥,25000,0,판매중,중고,,False,5,0,2026-08-27 08:15:28,1787786128,,610600008,https://m.bunjang.co.kr/products/385694806
쿠쿠 밥솥,407421528,쿠쿠 IH 전기압력밥솥,50000,0,판매중,중고,,False,2,0,2026-08-27 08:15:25,1787786125,,610600008,https://m.bunjang.co.kr/products/407421528
쿠쿠 밥솥,399728996,89  쿠쿠6인용 전기압력밥솥,150000,0,판매중,중고,,False,4,0,2026-08-27 07:38:29,1787783909,,610600008,https://m.bunjang.co.kr/products/399728996
쿠쿠 밥솥,393842634,94 쿠쿠10인용 전기압력밥솥,140000,0,판매중,중고,,False,10,0,2026-08-27 07:38:29,1787783909,,610600008,https://m.bunjang.co.kr/products/393842634
쿠쿠 밥솥,315311099,24. 쿠쿠6인용 전기압력밥솥,70000,0,판매중,중고,,False,8,0,2026-08-27 07:38:29,1787783909,,610600008,https://m.bunjang.co.kr/products/315311099
쿠쿠 밥솥,283981592,5419   쿠쿠6인용 전기압력밥솥,110000,0,판매중,중고,,False,17,0,2026-08-27 07:38:29,1787783909,,610600008,https://m.bunjang.co.kr/products/283981592
쿠쿠 밥솥,424618864,쿠쿠 IH 전기밥솥 JHT0610FS,92000,0,판매중,중고,경기도 화성시 만세구 새솔동,False,2,0,2026-08-27 07:08:02,1787782082,,610600008,https://m.bunjang.co.kr/products/424618864
쿠쿠 밥솥,424455151,쿠쿠10인용 압력밥솥,59000,0,판매중,중고,경기도 남양주시 호평동,False,0,0,2026-08-27 06:48:34,1787780914,,610600008,https://m.bunjang.co.kr/products/424455151
쿠쿠 밥솥,425518325,쿠쿠 IH 압력밥솥 3~4인용,54000,0,판매중,중고,부산광역시 남구 용호제3동,False,0,0,2026-08-27 04:16:16,1787771776,,610600008,https://m.bunjang.co.kr/products/425518325
쿠쿠 밥솥,424280414,쿠쿠 10인용 2기압 압력밥솥 FHR1010FG,90000,0,판매중,중고,,False,1,0,2026-08-27 01:39:18,1787762358,,610600008,https://m.bunjang.co.kr/products/424280414
쿠쿠 밥솥,425984958,쿠쿠 IH 밥솥 HWXF1070FR 레드,69000,0,판매중,중고,서울특별시 송파구 가락2동,False,0,0,2026-08-27 00:39:00,1787758740,,610600008,https://m.bunjang.co.kr/products/425984958
쿠쿠 밥솥,425984313,쿠쿠 IH 전기밥솥 HWF1060FB,69000,0,판매중,중고,서울특별시 송파구 가락2동,False,0,0,2026-08-27 00:36:43,1787758603,,610600008,https://m.bunjang.co.kr/products/425984313
쿠쿠 밥솥,425216106,IH 압력밥솥 내솥 쿠쿠 10인용,38000,0,판매중,중고,,False,2,0,2026-08-27 00:19:18,1787757558,쿠쿠내솥10인용 쿠쿠 내솥,610600008,https://m.bunjang.co.kr/products/425216106
쿠쿠 밥솥,425019275,쿠쿠 X-wall 밥솥 내솥 10인용,35000,0,판매중,중고,,False,1,0,2026-08-27 00:08:31,1787756911,쿠쿠10인용내솥 10인용내솥 Xwell 쿠쿠,610600008,https://m.bunjang.co.kr/products/425019275
쿠쿠 밥솥,422258163,쿠쿠 전기밥솥 CR-0681Y 6인용,70000,0,판매중,새상품,,False,2,0,2026-08-27 00:02:05,1787756525,쿠쿠 쿠쿠밥솥 쿠쿠전기밥솥 자취밥솥 미니밥솥새상품,610600008,https://m.bunjang.co.kr/products/422258163
쿠쿠 밥솥,425962800,밥솥 < 쿠쿠 CR-0675FW 6인용 > 팝니다,30000,0,판매중,중고,경기도 부천시 오정구 고강본동,False,0,0,2026-08-26 23:44:55,1787755495,밥솥 자취,610600008,https://m.bunjang.co.kr/products/425962800
쿠쿠 밥솥,425018319,쿠쿠 6인용 압력밥솥,45000,0,판매중,중고,,False,3,0,2026-08-26 23:02:22,1787752942,,610600008,https://m.bunjang.co.kr/products/425018319
쿠쿠 밥솥,425868105,쿠쿠압력밥솥,70000,0,판매중,중고,부산광역시 북구 구포제3동,False,0,0,2026-08-26 20:59:19,1787745559,,610600008,https://m.bunjang.co.kr/products/425868105
쿠쿠 밥솥,425817034,쿠쿠 IH 10인용 스마트 IH 밥솥 JHR1020FD,90000,0,판매중,중고,,False,0,0,2026-08-26 19:21:02,1787739662,,610600008,https://m.bunjang.co.kr/products/425817034
쿠쿠 밥솥,418041920,쿠쿠 전기밥솥 6인용 레드,37000,0,판매중,중고,경기도 수원시 팔달구 지동,False,1,0,2026-08-26 18:48:33,1787737713,,610600008,https://m.bunjang.co.kr/products/418041920
쿠쿠 밥솥,425256560,쿠쿠 전기밥솥압력밥솥주방인덕션잔자렌지앰비프라이팬쿠첸,15000,0,판매중,중고,,False,0,0,2026-08-26 18:23:54,1787736234,,610600008,https://m.bunjang.co.kr/products/425256560
쿠쿠 밥솥,425787456,쿠쿠 IH 전기밥솥 DHP0610FD,90000,0,판매중,중고,경기도 수원시 영통구 영통2동,True,0,0,2026-08-26 18:23:50,1787736230,,610600008,https://m.bunjang.co.kr/products/425787456
쿠쿠 밥솥,425769236,쿠쿠10인용 압력밥솥,49900,0,판매중,중고,경기도 남양주시 호평동,False,0,0,2026-08-26 17:44:43,1787733883,,610600008,https://m.bunjang.co.kr/products/425769236
쿠쿠 밥솥,425760883,[전기압력밥솥] 쿠쿠 6인용 IH압력밥솥 CRP-DHB0660FDM 판매합니다.,150000,0,판매중,중고,서울특별시 강서구 등촌제1동,True,2,0,2026-08-26 17:25:50,1787732750,쿠쿠 IH압력밥솥 6인용밥솥 쿠쿠전기압력밥솥,610600008,https://m.bunjang.co.kr/products/425760883
쿠쿠 밥솥,423873877,쿠쿠 3인용 전기밥솥 압력밥솥 CRP-EHS0310FW,50000,0,판매중,중고,서울특별시 송파구 잠실3동,False,6,0,2026-08-26 17:13:32,1787732012,쿠쿠전기밥솥 쿠쿠압력밥솥 전기밥솥 압력밥솥,610600008,https://m.bunjang.co.kr/products/423873877
쿠쿠 밥솥,425750699,쿠쿠 2인용 마시멜로 밥솥 퓨어 핑크 CR-0215MP,35000,0,판매중,중고,,False,0,0,2026-08-26 17:02:24,1787731344,쿠쿠 2인용 마시멜로 밥솥 가정용,610600008,https://m.bunjang.co.kr/products/425750699
쿠쿠 밥솥,425727534,쿠쿠10인용 압력밥솥,129000,0,판매중,중고,경기도 남양주시 호평동,False,0,0,2026-08-26 16:07:03,1787728023,,610600008,https://m.bunjang.co.kr/products/425727534
쿠쿠 밥솥,424668790,쿠쿠 전기압력밥솥 6인용 CRP-N068FR,37000,0,판매중,중고,강원특별자치도 정선군 고한읍,False,1,0,2026-08-26 15:28:51,1787725731,,610600008,https://m.bunjang.co.kr/products/424668790
쿠쿠 밥솥,391443423,쿠쿠IH 6인용밥솥,160000,0,판매중,중고,,False,3,0,2026-08-26 15:27:08,1787725628,쿠쿠6인용밥솥,610600008,https://m.bunjang.co.kr/products/391443423
쿠쿠 밥솥,424103474,쿠쿠 6인용 압력밥솥,72000,0,판매중,중고,,False,5,0,2026-08-26 12:00:38,1787713238,,610600008,https://m.bunjang.co.kr/products/424103474
쿠쿠 밥솥,403509614,쿠쿠 스마트 IH 전기압력밥솥 CRP-CHS108FD (10인용),90000,0,판매중,중고,,False,5,0,2026-08-26 11:57:24,1787713044,,610600008,https://m.bunjang.co.kr/products/403509614
쿠쿠 밥솥,414269662,쿠쿠 6인용 IH압력밥솥 DHB0660FDM,160000,0,판매중,중고,,True,5,0,2026-08-26 11:31:04,1787711464,,610600008,https://m.bunjang.co.kr/products/414269662
쿠쿠 밥솥,414269368,쿠쿠 트윈프레셔 압력밥솥 10인용 RT108FC,159000,0,판매중,중고,,True,3,0,2026-08-26 11:31:04,1787711464,,610600008,https://m.bunjang.co.kr/products/414269368
쿠쿠 밥솥,403571719,쿠쿠밥솥 쿠첸 전기밥솥 압력밥솥,25000,0,판매중,중고,,False,3,0,2026-08-26 11:06:54,1787710014,,610600008,https://m.bunjang.co.kr/products/403571719
쿠쿠 밥솥,424433863,[무료배송]새제품 쿠쿠 IH 전기밥솥 6인용 블랙 브라운,204000,0,판매중,새상품,,True,2,0,2026-08-26 10:56:50,1787709410,밥솥 쿠쿠전기밥솥 쿠쿠밥솥6인용 전기밥솥 쿠쿠압력밥솥,610600008,https://m.bunjang.co.kr/products/424433863
쿠쿠 밥솥,298380933,쿠쿠 IH 압력밥솥 6인용  팝니다,67000,0,판매중,중고,,False,2,0,2026-08-26 10:43:43,1787708623,,610600008,https://m.bunjang.co.kr/products/298380933
쿠쿠 밥솥,424174770,쿠쿠 IH 압력밥솥 3~4인용,54000,0,판매중,중고,부산광역시 남구 용호제1동,False,1,0,2026-08-26 10:36:27,1787708187,,610600008,https://m.bunjang.co.kr/products/424174770
쿠쿠 밥솥,407849588,쿠쿠6인용압력밥솥,63000,0,판매중,중고,,False,4,0,2026-08-26 10:22:40,1787707360,쿠쿠 6인용 압력밥솥,610600008,https://m.bunjang.co.kr/products/407849588
쿠쿠 밥솥,291393112,쿠쿠IH6인용압력밥솥,53000,0,판매중,중고,,False,9,0,2026-08-26 10:22:36,1787707356,쿠쿠 IH 6인용 압력밥솥,610600008,https://m.bunjang.co.kr/products/291393112
쿠쿠 밥솥,425614393,쿠쿠10인용 압력밥솥,35000,0,판매중,중고,경기도 남양주시 호평동,False,0,0,2026-08-26 10:16:02,1787706962,,610600008,https://m.bunjang.co.kr/products/425614393
쿠쿠 밥솥,425614312,쿠쿠 IH 6인용 압력밥솥,99000,0,판매중,중고,경기도 남양주시 호평동,False,0,0,2026-08-26 10:15:07,1787706907,,610600008,https://m.bunjang.co.kr/products/425614312
쿠쿠 밥솥,416864493,쿠쿠 IH압력밥솥 3인용 EHS0320FW,105000,0,판매중,중고,서울특별시 관악구 성현동,False,3,0,2026-08-26 09:05:38,1787702738,쿠쿠 ih EHS0320FW 3인용 밥솥,610600008,https://m.bunjang.co.kr/products/416864493
쿠쿠 밥솥,425610582,쿠쿠10인용 압력밥솥,59000,0,판매중,중고,경기도 남양주시 호평동,False,0,0,2026-08-26 09:04:22,1787702662,,610600008,https://m.bunjang.co.kr/products/425610582
쿠쿠 밥솥,422147475,쿠쿠 압력밥솥 레드6인용 내솥스텐레스 에코,85000,0,판매중,중고,,False,1,0,2026-08-26 08:59:28,1787702368,,610600008,https://m.bunjang.co.kr/products/422147475
쿠쿠 밥솥,425610213,쿠쿠6인용 압력밥솥 내솥,65000,0,판매중,중고,경기도 남양주시 호평동,False,1,0,2026-08-26 08:54:53,1787702093,,610600008,https://m.bunjang.co.kr/products/425610213
쿠쿠 밥솥,425316440,쿠쿠10인용 압력밥솥,35000,0,판매중,중고,경기도 남양주시 호평동,False,2,0,2026-08-26 07:16:04,1787696164,,610600008,https://m.bunjang.co.kr/products/425316440
쿠쿠 밥솥,425606486,쿠쿠 밥솥6인용  JHR0620FD 스마트 IH,90000,0,판매중,중고,,False,0,0,2026-08-26 07:12:17,1787695937,,610600008,https://m.bunjang.co.kr/products/425606486
쿠쿠 밥솥,425605514,쿠쿠 전기 압력밥솥 6인용 음성기능 자동새척 깨끗해요,55000,0,판매중,중고,,True,0,0,2026-08-26 06:47:44,1787694464,,610600008,https://m.bunjang.co.kr/products/425605514
쿠쿠 밥솥,425605477,쿠쿠 전기 압력밥솥 10인용 음성기능 자동세척 깨꿋해요,50000,0,판매중,중고,,True,0,0,2026-08-26 06:45:46,1787694346,,610600008,https://m.bunjang.co.kr/products/425605477
쿠쿠 밥솥,425605413,쿠쿠 전기 압력밥솥 6인용 음성기능 자동새척 깨끗해요,55000,0,판매중,중고,,True,0,0,2026-08-26 06:41:51,1787694111,,610600008,https://m.bunjang.co.kr/products/425605413
쿠쿠 밥솥,425605386,쿠쿠 전기 압력밥솥 10인용 깨끗해요,43000,0,판매중,중고,,True,1,0,2026-08-26 06:40:40,1787694040,,610600008,https://m.bunjang.co.kr/products/425605386
쿠쿠 밥솥,425050727,쿠쿠 스마트 IH 압력밥솥 3~4인용,54000,0,판매중,중고,부산광역시 남구 용호제3동,False,0,0,2026-08-26 05:55:45,1787691345,,610600008,https://m.bunjang.co.kr/products/425050727
쿠쿠 밥솥,425140248,쿠쿠 6인용 미니 에그밥솥(상태좋음),52000,0,판매중,중고,부산광역시 남구 용호제3동,False,0,0,2026-08-26 05:46:21,1787690781,,610600008,https://m.bunjang.co.kr/products/425140248
쿠쿠 밥솥,424715986,쿠쿠 IH 압력밥솥 3~4인용,54000,0,판매중,중고,부산광역시 남구 용호제3동,False,0,0,2026-08-26 03:42:10,1787683330,,610600008,https://m.bunjang.co.kr/products/424715986
쿠쿠 밥솥,424584826,쿠쿠 핑크 미니 밥솥 1~2인용,37000,0,판매중,중고,부산광역시 남구 용호제3동,False,1,0,2026-08-26 03:42:06,1787683326,,610600008,https://m.bunjang.co.kr/products/424584826
쿠쿠 밥솥,413088144,쿠쿠 전기밥솥 레드,45000,0,판매중,중고,,True,3,0,2026-08-26 01:58:40,1787677120,,610600008,https://m.bunjang.co.kr/products/413088144
쿠쿠 밥솥,425588899,쿠쿠 밥솥 내솥10안용 DYKING 코팅 A급,42000,0,판매중,중고,,True,0,0,2026-08-25 23:28:22,1787668102,쿠쿠10인용내솥 쿠쿠,610600008,https://m.bunjang.co.kr/products/425588899
쿠쿠 밥솥,424514989,쿠쿠 트윈프레셔 10인용밥솥 KHTS1060FD,150000,0,판매중,중고,,False,1,0,2026-08-25 21:31:10,1787661070,,610600008,https://m.bunjang.co.kr/products/424514989
쿠쿠 밥솥,418592498,쿠쿠 에코미니 3인용 IH밥솥 EHS0320FS,130000,0,판매중,중고,,False,6,0,2026-08-25 21:28:28,1787660908,,610600008,https://m.bunjang.co.kr/products/418592498
쿠쿠 밥솥,425573280,쿠쿠 10인용 IH 압력밥솥 CRP-PW1085FD 판매합니다,70000,0,판매중,중고,서울특별시 동작구 상도제1동,False,0,0,2026-08-25 21:27:03,1787660823,,610600008,https://m.bunjang.co.kr/products/425573280
쿠쿠 밥솥,424070987,쿠쿠 에코미니 3인용 밥솥  EHS0320FS,150000,0,판매중,중고,,False,0,0,2026-08-25 21:26:52,1787660812,,610600008,https://m.bunjang.co.kr/products/424070987
쿠쿠 밥솥,424651572,쿠쿠 트윈프레셔 마스타쉐프 6인밥솥 LHTR0610FW,140000,0,판매중,중고,,False,0,0,2026-08-25 21:24:27,1787660667,,610600008,https://m.bunjang.co.kr/products/424651572
쿠쿠 밥솥,425207964,쿠쿠 30인용 대용량 전기밥솥 CR-3031V,266000,0,판매중,중고,경기도 용인시 수지구 상현3동,True,0,0,2026-08-25 20:10:19,1787656219,,610600008,https://m.bunjang.co.kr/products/425207964
쿠쿠 밥솥,376443095,쿠쿠 압력밥솥 10인용 스텐레스 커버,39000,0,판매중,새상품,,True,7,0,2026-08-25 19:20:42,1787653242,,610600008,https://m.bunjang.co.kr/products/376443095
쿠쿠 밥솥,421545477,쿠쿠 30인용 전기보온밥솥 업소용 CR3055B,75000,0,판매중,중고,,True,3,0,2026-08-25 18:57:03,1787651823,,610600008,https://m.bunjang.co.kr/products/421545477
쿠쿠 밥솥,404309113,쿠쿠 10인용 전기압력밥솥 CRP-P1015FBB,85000,0,판매중,중고,,True,3,0,2026-08-25 18:56:46,1787651806,,610600008,https://m.bunjang.co.kr/products/404309113
쿠쿠 밥솥,418272794,쿠쿠 6인용 전기보온밥솥 CRP-P0620FDM,115000,0,판매중,중고,,True,1,0,2026-08-25 18:54:28,1787651668,,610600008,https://m.bunjang.co.kr/products/418272794
쿠쿠 밥솥,395832637,쿠쿠 6인용 전기밥솥 P0620FDM 블랙색상,119000,0,판매중,중고,,True,1,0,2026-08-25 18:54:28,1787651668,,610600008,https://m.bunjang.co.kr/products/395832637
쿠쿠 밥솥,346757538,쿠쿠 전기압력밥솥 6인용 CRP-P0620FDM,119000,0,판매중,중고,경기도 양주시 양주2동,True,6,0,2026-08-25 18:54:28,1787651668,,610600008,https://m.bunjang.co.kr/products/346757538
쿠쿠 밥솥,418266434,쿠쿠 전기압력밥솥 6인용 CRP-R0615FBS,120000,0,판매중,중고,,True,8,0,2026-08-25 18:54:18,1787651658,,610600008,https://m.bunjang.co.kr/products/418266434
쿠쿠 밥솥,393460755,쿠쿠 IH 10인용 전기밥솥,139000,0,판매중,중고,,True,2,0,2026-08-25 18:53:32,1787651612,,610600008,https://m.bunjang.co.kr/products/393460755
쿠쿠 밥솥,387242316,쿠쿠 트윈프레셔 전기압력밥솥 10인용 CRT-RT107FC,147000,0,판매중,중고,,True,7,0,2026-08-25 18:53:08,1787651588,,610600008,https://m.bunjang.co.kr/products/387242316
쿠쿠 밥솥,402852774,쿠쿠 10인용 전기압력밥솥 HWF1060FB,130000,0,판매중,중고,,True,4,0,2026-08-25 18:52:41,1787651561,,610600008,https://m.bunjang.co.kr/products/402852774
쿠쿠 밥솥,413274998,쿠쿠 10인용 전기 IH 압력밥솥 JHP1010FGPS,220000,0,판매중,중고,,True,8,0,2026-08-25 18:50:36,1787651436,,610600008,https://m.bunjang.co.kr/products/413274998
쿠쿠 밥솥,417173947,쿠쿠 트윈프레셔 IH 전기압력밥솥 10인용,260000,0,판매중,중고,경기도 부천시 약대동,True,4,0,2026-08-25 17:45:33,1787647533,쿠쿠 압력밥솥 IH 트윈프레셔 마스터셰프,610600008,https://m.bunjang.co.kr/products/417173947
쿠쿠 밥솥,425525369,쿠쿠 IH 전기압력밥솥 6인용(CRP-DHP0610FD),90000,0,판매중,중고,,False,2,0,2026-08-25 15:29:11,1787639351,,610600008,https://m.bunjang.co.kr/products/425525369
쿠쿠 밥솥,425523101,쿠쿠 10인용 내솥 무쇠가마 밥솥 내솥 A급,42000,0,판매중,중고,,False,0,0,2026-08-25 15:08:26,1787638106,쿠쿠 10인용내솥 쿠쿠밥솥내솥 내솥,610600008,https://m.bunjang.co.kr/products/425523101
쿠쿠 밥솥,424077370,쿠쿠 마스터셰프 트윈프레셔 IH밥솥,250000,0,판매중,중고,경기도 평택시 용이동,True,4,0,2026-08-25 15:04:07,1787637847,밥솥 쿠쿠 쿠쿠밥솥 쿠쿠밥솥6인용,610600008,https://m.bunjang.co.kr/products/424077370
쿠쿠 밥솥,394534425,쿠쿠 6인용 IH 압력밥솥 DHB0660FDM,88000,0,판매중,중고,,False,0,0,2026-08-25 13:39:05,1787632745,쿠쿠 압력밥솥 IH 음성지원 6인용,610600008,https://m.bunjang.co.kr/products/394534425
쿠쿠 밥솥,385611801,쿠쿠 전기밥솥 6인용,90000,0,판매중,중고,,False,1,0,2026-08-25 13:05:22,1787630722,,610600008,https://m.bunjang.co.kr/products/385611801
쿠쿠 밥솥,420030658,쿠쿠 전기압력밥솥 6인용 CRP-FA0661SP,29000,0,판매중,중고,강원특별자치도 정선군 고한읍,False,2,0,2026-08-25 12:04:38,1787627078,,610600008,https://m.bunjang.co.kr/products/420030658
쿠쿠 밥솥,425503967,쿠쿠 전기보온밥솥 업소용 30인용 CR-3055B,90000,0,판매중,새상품,인천광역시 계양구 계양1동,False,0,0,2026-08-25 11:59:50,1787626790,,610600008,https://m.bunjang.co.kr/products/425503967
쿠쿠 밥솥,409312685,쿠쿠 압력밥솥 10인용 밥맛 좋기로 유명한,150000,0,판매중,중고,서울특별시 서초구 서초1동,False,1,0,2026-08-25 10:06:45,1787620005,,800400100,https://m.bunjang.co.kr/products/409312685
쿠쿠 밥솥,400365872,쿠쿠압력밥솥,40000,0,판매중,중고,,False,3,0,2026-08-25 08:44:30,1787615070,,610600008,https://m.bunjang.co.kr/products/400365872
쿠쿠 밥솥,415148255,919. 쿠쿠6인용 전기압력밥솥,120000,0,판매중,중고,,False,8,0,2026-08-25 07:44:52,1787611492,,610600008,https://m.bunjang.co.kr/products/415148255
쿠쿠 밥솥,292555237,48  쿠쿠10인용 전기압력밥솥,120000,0,판매중,중고,,False,13,0,2026-08-25 07:44:52,1787611492,,610600008,https://m.bunjang.co.kr/products/292555237
쿠쿠 밥솥,283981726,25  쿠쿠6인용 전기압력밥솥,110000,0,판매중,중고,,False,13,0,2026-08-25 07:44:52,1787611492,,610600008,https://m.bunjang.co.kr/products/283981726
쿠쿠 밥솥,407549636,쿠쿠6인용압력밥솥,35000,0,판매중,중고,,False,1,0,2026-08-25 07:39:24,1787611164,쿠쿠 6인용 압력밥솥,610600008,https://m.bunjang.co.kr/products/407549636
쿠쿠 밥솥,400048897,쿠쿠6인용압력밥솥 트윈프레셔 (22년1월제품),98000,0,판매중,중고,,False,2,0,2026-08-25 07:39:14,1787611154,쿠쿠 6인용 압력밥솥 트윈프레셔,610600008,https://m.bunjang.co.kr/products/400048897
쿠쿠 밥솥,425077228,쿠쿠 6인용 압력밥솥,90000,0,판매중,중고,,False,0,0,2026-08-25 07:34:40,1787610880,압력밥솥 압력밥솥6인용 쿠쿠전기밥솥,610600008,https://m.bunjang.co.kr/products/425077228
쿠쿠 밥솥,406124345,쿠쿠 IH 중고밥솥 HVT0610SR,69000,0,판매중,중고,서울특별시 성동구 용답동,True,0,0,2026-08-25 06:31:39,1787607099,쿠쿠 쿠쿠밥솓,610600008,https://m.bunjang.co.kr/products/406124345
쿠쿠 밥솥,402475630,쿠쿠 CRP-RT067FP 6인용 압력밥솥(급처분),80000,0,판매중,중고,,False,4,0,2026-08-25 06:13:26,1787606006,,610600008,https://m.bunjang.co.kr/products/402475630
쿠쿠 밥솥,424956454,쿠쿠 미니 에그밥솥(상태좋음),50000,0,판매중,중고,부산광역시 남구 용호제3동,False,2,0,2026-08-25 06:02:58,1787605378,,610600008,https://m.bunjang.co.kr/products/424956454
쿠쿠 밥솥,404705497,쿠쿠6인용압력밥솥,38000,0,판매중,중고,,False,2,0,2026-08-24 22:26:50,1787578010,쿠쿠 압력밥솥 6인용,610600008,https://m.bunjang.co.kr/products/404705497
쿠쿠 밥솥,346060335,"쿠쿠10인용압력밥솥 (트윈프레셔,20년식)",88000,0,판매중,중고,,False,8,0,2026-08-24 22:26:47,1787578007,쿠쿠 트윈프레셔 10인용 압력밥솥,610600008,https://m.bunjang.co.kr/products/346060335
쿠쿠 밥솥,421796253,쿠쿠 IH6인용압력밥솥,105000,0,판매중,중고,,False,1,0,2026-08-24 22:26:44,1787578004,쿠쿠 IH 6인용 압력밥솥,610600008,https://m.bunjang.co.kr/products/421796253
쿠쿠 밥솥,422489664,쿠쿠6인용압력밥솥,130000,0,판매중,중고,,False,1,0,2026-08-24 22:26:41,1787578001,쿠쿠 6인용 압력밥솥,610600008,https://m.bunjang.co.kr/products/422489664
쿠쿠 밥솥,311293349,쿠쿠전기압력밥솥 6인 CRP-FA0621MR,29900,0,판매중,중고,,False,4,0,2026-08-24 20:28:27,1787570907,,610600008,https://m.bunjang.co.kr/products/311293349
쿠쿠 밥솥,425434827,쿠쿠6인용 전기밥솥,19000,0,판매중,중고,경기도 남양주시 호평동,False,0,0,2026-08-24 18:46:34,1787564794,,610600008,https://m.bunjang.co.kr/products/425434827
쿠쿠 밥솥,146771279,"6인용 10인용 밥솥덮개, 밥통덮개, 밥솥깔개",26000,0,판매중,새상품,,True,12,0,2026-08-24 17:53:16,1787561596,쿠쿠 쿠첸 밥솥덮개 밥솥커버 밥통커버,800400999,https://m.bunjang.co.kr/products/146771279
쿠쿠 밥솥,413107197,쿠쿠 압력밥솥 스마트 iH 음성가드 3등급 10인용 레드,55000,0,판매중,중고,대전광역시 중구 오류동,False,7,0,2026-08-24 09:25:37,1787531137,,610600008,https://m.bunjang.co.kr/products/413107197
쿠쿠 밥솥,395522862,쿠쿠 스마트 IH 전기압력밥솥,135000,0,판매중,중고,대전광역시 중구 오류동,False,13,0,2026-08-24 09:25:24,1787531124,,610600008,https://m.bunjang.co.kr/products/395522862
쿠쿠 밥솥,415203229,581. 쿠쿠6인용 전기압력밥솥,120000,0,판매중,중고,,False,3,0,2026-08-24 07:58:38,1787525918,,610600008,https://m.bunjang.co.kr/products/415203229
쿠쿠 밥솥,404255522,49. 쿠쿠6인용 전기압력밥솥,130000,0,판매중,중고,,False,4,0,2026-08-24 07:58:38,1787525918,,610600008,https://m.bunjang.co.kr/products/404255522
쿠쿠 밥솥,414342056,쿠쿠 밥솥 레드,50000,0,판매중,중고,,False,3,0,2026-08-24 06:18:23,1787519903,,610600008,https://m.bunjang.co.kr/products/414342056
